
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 6
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
 186    187   1222    1.41508800e+01    1.41508800e+01     3.02295274e-03    7.7e+01     1.0e+00      2.823e-01
 187    188   1225    1.41437479e+01    1.41437479e+01     3.02121183e-03    1.9e+02     1.0e+00      2.822e-01
 188    189   1230    1.41402291e+01    1.41402291e+01     3.02121354e-03    1.9e+02     1.0e+00      2.822e-01
 189    190   1240    1.38137852e+01    1.38137852e+01     2.88874274e-03    3.3e+03     1.0e+00      2.756e-01
 190    191   1242    1.37735850e+01    1.37735850e+01     2.88875188e-03    6.7e+02     1.0e+00      2.756e-01
 191    192   1247    1.35656178e+01    1.35656178e+01     2.89076459e-03    7.1e+02     1.0e+00      2.755e-01
 192    193   1253    1.35045394e+01    1.35045394e+01     2.88926574e-03    4.7e+02     1.0e+00      2.755e-01
 193    194   1263    1.34716854e+01    1.34716854e+01     2.88798537e-03    3.6e+02     1.0e+00      2.754e-01
 194    195   1265    1.34709598e+01    1.34709598e+01     2.88796957e-03    1.3e+02     1.0e+00      2.754e-01
 195    196   1271    1.34552235e+01    1.34552235e+01     2.88308224e-03    3.6e+02     1.0e+00      2.752e-01
 196    197   1275    1.34491674e+01    1.34491674e+01     2.88259533e-03    2.7e+02     1.0e+00      2.751e-01
 197    198   1284    1.34333206e+01    1.34333206e+01     2.87984709e-03    2.6e+02     1.0e+00      2.750e-01
 198    199   1291    1.34228235e+01    1.34228235e+01     2.87806993e-03    9.8e+01     1.0e+00      2.749e-01
 199    200   1301    1.33633557e+01    1.33633557e+01     2.85785676e-03    1.2e+03     1.0e+00      2.738e-01
 200    201   1304    1.33445052e+01    1.33445052e+01     2.85770812e-03    2.4e+02     1.0e+00      2.738e-01
 201    202   1309    1.33205649e+01    1.33205649e+01     2.85624518e-03    1.5e+02     1.0e+00      2.738e-01
 202    203   1313    1.33123009e+01    1.33123009e+01     2.85605305e-03    2.5e+02     1.0e+00      2.737e-01
 203    204   1323    1.32975759e+01    1.32975759e+01     2.85230527e-03    2.7e+02     1.0e+00      2.736e-01
 204    205   1327    1.32932550e+01    1.32932550e+01     2.85229224e-03    1.8e+02     1.0e+00      2.736e-01
 205    206   1331    1.32907351e+01    1.32907351e+01     2.85188822e-03    1.9e+02     1.0e+00      2.735e-01
 206    207   1341    1.32540084e+01    1.32540084e+01     2.83955570e-03    2.3e+02     1.0e+00      2.729e-01
 207    208   1345    1.32321862e+01    1.32321862e+01     2.83935876e-03    2.6e+02     1.0e+00      2.729e-01
