
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 6: 0
====== Angle Number  2 of 6: 36
====== Angle Number  3 of 6: 72
====== Angle Number  4 of 6: 108
====== Angle Number  5 of 6: 144
====== Angle Number  6 of 6: 180
>> >> >> >> >> >> ===================== 10
====== With Self Absorption, Transmission Detector Resolution is 16
ans =
   410   300
ans =
    82   300
J1 =
   240
J2 =
    70
J3 =
   300
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
 126    127    808    5.62871913e-04    5.03168508e-04     5.97034052e-05    4.5e-03     1.0e+00      2.868e-01
 127    128    818    5.60313020e-04    5.00236683e-04     6.00763365e-05    9.2e-03     1.0e+00      2.867e-01
 128    129    828    5.57802523e-04    4.98753256e-04     5.90492671e-05    4.4e-03     1.0e+00      2.865e-01
 129    130    838    5.55331561e-04    4.96128027e-04     5.92035339e-05    9.1e-03     1.0e+00      2.864e-01
 130    131    848    5.52899912e-04    4.94533668e-04     5.83662446e-05    4.3e-03     1.0e+00      2.863e-01
 131    132    858    5.50504329e-04    4.92123794e-04     5.83805354e-05    9.0e-03     1.0e+00      2.862e-01
 132    133    868    5.48145015e-04    4.90451377e-04     5.76936373e-05    4.3e-03     1.0e+00      2.861e-01
 133    134    878    5.45819889e-04    4.88228223e-04     5.75916658e-05    8.9e-03     1.0e+00      2.860e-01
 134    135    888    5.43529364e-04    4.86483583e-04     5.70457811e-05    4.2e-03     1.0e+00      2.859e-01
 135    136    898    5.41271535e-04    4.84439743e-04     5.68317927e-05    8.8e-03     1.0e+00      2.858e-01
 136    137    908    5.39046913e-04    4.82621022e-04     5.64258917e-05    4.1e-03     1.0e+00      2.857e-01
